player_id,name,age,goals,assists,yellow_cards,red_cards,role,market_value
574661,Bojan Balaz,25,3.0,5.0,9.0,1.0,defender,
574666,Danilo Mitrovic,25,3.0,2.0,9.0,1.0,defender,
574669,Bogdan Jocic,25,3.0,3.0,6.0,1.0,midfielder,1000000.0
574670,Luka Bijelovic,25,6.0,6.0,5.0,1.0,attacker,500000.0
574671,Strahinja Pavlović,25,7.0,4.0,11.0,1.0,defender,35000000.0
574758,Garcia,24,3.0,3.0,6.0,1.0,defender,2200000.0
574761,Alysson,24,3.0,2.0,9.0,1.0,defender,440000.0
574765,Praxedes,24,5.0,5.0,8.0,1.0,midfielder,2500000.0
574772,Lázaro,24,6.0,5.0,1.0,1.0,attacker,3000000.0
574774,Wesley Pomba,24,1.0,3.0,1.0,1.0,attacker,500000.0
574789,Noah Mneney,23,3.0,3.0,1.0,1.0,midfielder,
574889,Simone Ianesi,24,6.0,5.0,5.0,1.0,attacker,105000.0
574901,Hugo Souza,27,1.0,1.0,5.0,1.0,goalkeeper,11000000.0
574904,Luan,27,3.0,3.0,10.0,1.0,midfielder,1800000.0
574927,Erick Japa,27,8.0,4.0,5.0,1.0,attacker,
574930,Danila Vedernikov,25,1.0,4.0,5.0,1.0,defender,750000.0
574934,Dmitriy Pivovarov,26,3.0,4.0,7.0,1.0,defender,250000.0
574949,Richard,27,2.0,2.0,3.0,1.0,midfielder,590000.0
575047,Reuben Yem,29,3.0,5.0,9.0,1.0,defender,310000.0
575049,Richard Ludha,25,1.0,1.0,3.0,1.0,goalkeeper,290000.0
575084,Kwaku Bonsu Osei,26,6.0,6.0,5.0,1.0,attacker,350000.0
575209,Vicko Sevelj,26,2.0,5.0,17.0,1.0,midfielder,660000.0
575210,Harrison Sohna,24,5.0,5.0,8.0,1.0,midfielder,150000.0
575219,Cătălin Cîrjan,23,5.0,5.0,8.0,1.0,midfielder,2500000.0
575241,Andrés Ferro,25,3.0,2.0,9.0,1.0,defender,
575319,Kandet Diawara,26,6.0,5.0,5.0,1.0,attacker,420000.0
575367,Richard Ledezma,26,2.0,2.0,8.0,1.0,defender,5500000.0
575368,Frankie Amaya,26,5.0,5.0,8.0,1.0,midfielder,1940000.0
575373,Vitor Gabriel,26,8.0,4.0,5.0,1.0,attacker,540000.0
575374,Behlül Aydin,25,6.0,6.0,6.0,1.0,midfielder,250000.0
575375,Jonas Toró,27,6.0,5.0,1.0,1.0,attacker,1480000.0
575407,Danil Khoroshkov,24,3.0,2.0,9.0,1.0,defender,110000.0
575408,Evgeniy Bolotov,25,2.0,3.0,5.0,1.0,midfielder,600000.0
575410,Artem Privalov,25,5.0,5.0,8.0,1.0,midfielder,45000.0
575472,Arnau Fàbrega,26,1.0,1.0,3.0,1.0,goalkeeper,100000.0
575498,Rave Assayag,25,8.0,4.0,5.0,1.0,attacker,
575594,Ismaël Kandouss,28,3.0,2.0,13.0,1.0,defender,2240000.0
575610,Thibault Klidjé,25,3.0,1.0,1.0,1.0,attacker,2560000.0
575620,Mauricio Villalobos,27,6.0,5.0,5.0,1.0,attacker,
575693,Ibrahim Cissoko,23,3.0,1.0,1.0,1.0,attacker,1700000.0
575706,Abdulrahman Saleh,27,3.0,4.0,7.0,1.0,defender,
575716,Vasco Sousa,23,1.0,1.0,3.0,1.0,midfielder,2600000.0
575717,Guilherme Montóia,23,3.0,4.0,6.0,1.0,defender,500000.0
575783,Dmitriy Sergeev,26,3.0,3.0,10.0,1.0,midfielder,250000.0
575978,Daan Maas,23,3.0,3.0,10.0,1.0,midfielder,25000.0
575998,Leonardo Balerdi,27,5.0,3.0,49.0,3.0,defender,18400000.0
575999,Aarón Molinas,26,6.0,6.0,6.0,1.0,midfielder,3200000.0
576021,Stanislav Sharay,29,3.0,2.0,5.0,1.0,midfielder,360000.0
576022,Vladyslav Yemets,29,3.0,1.0,10.0,1.0,defender,140000.0
576023,Lautaro Morales,26,1.0,1.0,3.0,1.0,goalkeeper,
576024,Julián Alvarez,26,81.0,35.0,14.0,1.0,attacker,92000000.0
576026,Santiago Sosa,27,3.0,3.0,10.0,1.0,midfielder,8200000.0
576027,Elías Pereyra,27,3.0,4.0,2.0,1.0,defender,520000.0
576028,Thiago Almada,25,6.0,6.0,6.0,1.0,attacker,21400000.0
576033,Doğan Alemdar,24,1.0,1.0,4.0,1.0,goalkeeper,2000000.0
576034,Bora Barlas,28,6.0,6.0,5.0,1.0,attacker,50000.0
576035,Adem Dogan,25,3.0,2.0,9.0,1.0,defender,70000.0
576096,Yousri Sbai,22,3.0,5.0,9.0,1.0,defender,100000.0
576098,Kas de Wit,23,6.0,6.0,6.0,1.0,midfielder,100000.0
576099,Joseph Anang,26,1.0,1.0,3.0,1.0,goalkeeper,300000.0
576121,Josh Wilson-Esbrand,23,1.0,2.0,1.0,1.0,defender,2800000.0
576125,Thierry Gale,24,6.0,5.0,5.0,1.0,attacker,
576188,Seung-sub Kim,30,6.0,5.0,5.0,1.0,attacker,550000.0
576265,Ali Yousif,30,8.0,4.0,5.0,1.0,attacker,
576314,Jan Paul van Hecke,26,5.0,6.0,34.0,1.0,defender,35000000.0
576346,Dylan Scicluna,22,5.0,5.0,8.0,1.0,midfielder,350000.0
576454,Shinnosuke Fukuda,26,3.0,5.0,9.0,1.0,defender,750000.0
576566,Zafer Görgen,26,1.0,1.0,2.0,1.0,goalkeeper,800000.0
576681,Brend Leeflang,25,3.0,2.0,9.0,1.0,defender,25000.0
576682,Jasper Dahlhaus,24,2.0,3.0,8.0,1.0,defender,1300000.0
576712,Nicky Clescenco,25,6.0,1.0,5.0,1.0,attacker,180000.0
576733,Declan Lambert,28,3.0,4.0,7.0,1.0,defender,
576743,Kirill Ushatov,26,6.0,2.0,6.0,1.0,midfielder,280000.0
576776,Anton Antoshyn,28,3.0,5.0,9.0,1.0,defender,25000.0
576882,Sean Karani,25,6.0,6.0,5.0,1.0,attacker,
576896,Vladyslav Tyshyninov,26,5.0,5.0,8.0,1.0,midfielder,50000.0
576979,Ugur Samet Ünalir,26,3.0,5.0,9.0,1.0,defender,50000.0
576982,Alperen Kuyubaşı,26,3.0,2.0,9.0,1.0,defender,60000.0
576983,Zurab Gigashvili,24,3.0,2.0,9.0,1.0,defender,125000.0
576990,Ender Aygören,26,5.0,5.0,3.0,1.0,midfielder,55000.0
576994,Mahmut Altinkaya,26,5.0,5.0,8.0,1.0,midfielder,60000.0
576997,Burak Evren,26,8.0,4.0,5.0,1.0,attacker,50000.0
577216,Shunki Higashi,26,3.0,4.0,4.0,1.0,midfielder,1400000.0
577217,Kai Shibato,30,3.0,3.0,10.0,1.0,midfielder,370000.0
577222,Henry Sletsjøe,26,5.0,5.0,8.0,1.0,midfielder,350000.0
577249,Nsungusi Effiong,26,8.0,4.0,5.0,1.0,attacker,
577259,Luciano Boggio,27,5.0,5.0,8.0,1.0,midfielder,
577260,Facundo Batista,27,7.0,1.0,3.0,1.0,attacker,1120000.0
577394,Denso Kasius,24,8.0,8.0,6.0,1.0,defender,6000000.0
577396,Ricuenio Kewal,24,6.0,6.0,5.0,1.0,attacker,
577405,Mathías Laborda,27,3.0,2.0,9.0,1.0,defender,3500000.0
577407,Ignacio Laquintana,27,6.0,6.0,5.0,1.0,attacker,
577439,Chriso,26,5.0,5.0,8.0,1.0,midfielder,500000.0
577455,Ringo Meerveld,23,10.0,10.0,3.0,1.0,midfielder,4000000.0
577486,Gastón Álvarez,26,4.0,2.0,16.0,1.0,defender,9400000.0
577489,Emiliano Gómez,25,9.0,6.0,6.0,1.0,attacker,2500000.0
577515,Teodor Lungu,31,5.0,5.0,2.0,1.0,midfielder,400000.0
577590,Pedro Brazão,23,2.0,2.0,4.0,1.0,attacker,1360000.0
577597,Adrian Bukowski,23,3.0,3.0,10.0,1.0,midfielder,
577714,Egor Lyubakov,27,1.0,1.0,3.0,1.0,goalkeeper,460000.0
577718,Danila Smirnov,25,5.0,5.0,1.0,1.0,midfielder,255000.0
577779,James Daly,26,8.0,4.0,5.0,1.0,attacker,
577785,Mark Zabukovnik,25,1.0,3.0,10.0,1.0,midfielder,
577816,Oscar Pettersson,26,6.0,1.0,5.0,1.0,attacker,520000.0
577832,Jesper Ceesay,25,3.0,3.0,4.0,1.0,midfielder,1200000.0
577844,Oleg Sokolov,27,3.0,5.0,3.0,1.0,defender,300000.0
577858,John Pulskamp,25,1.0,1.0,3.0,1.0,goalkeeper,600000.0
577869,Ruly García,26,1.0,1.0,3.0,1.0,goalkeeper,150000.0
577878,Jacob Castro,26,1.0,1.0,3.0,1.0,goalkeeper,
577881,Mohamed Ali Ben Romdhane,27,5.0,5.0,8.0,1.0,midfielder,
577933,Sead Islamovic,27,5.0,5.0,8.0,1.0,midfielder,
578094,Fard Ibrahim,26,3.0,4.0,7.0,1.0,defender,150000.0
578280,Abdulla Idrees,27,3.0,4.0,7.0,1.0,defender,
578292,Omar Rekik,24,3.0,2.0,9.0,1.0,defender,680000.0
578391,Rayan Aït-Nouri,25,11.0,26.0,35.0,1.0,defender,40000000.0
578392,Maximilian Beier,24,37.0,18.0,10.0,1.0,attacker,40000000.0
578419,Federico Viñas,28,6.0,1.0,5.0,2.0,attacker,4200000.0
578421,Ruben Kluivert,25,3.0,3.0,12.0,1.0,defender,6000000.0
578459,Aaron Bastiaans,24,2.0,5.0,5.0,1.0,attacker,250000.0
578539,Chris Richards,26,5.0,5.0,15.0,1.0,defender,25000000.0
578544,Noah Naujoks,24,8.0,2.0,5.0,1.0,midfielder,1000000.0
578547,Christopher Cheng,25,3.0,4.0,7.0,1.0,defender,1040000.0
578551,Sofian Bahloul,26,6.0,6.0,5.0,1.0,attacker,
578630,Léo Gomes,29,5.0,5.0,8.0,1.0,midfielder,
578631,Bas Breukers,24,0.0,0.0,0.0,0.0,unknown,
578680,Hugo Siquet,24,4.0,13.0,15.0,1.0,defender,3800000.0
578685,Edu Mancha,30,2.0,2.0,3.0,1.0,defender,330000.0
578703,Fredrik Kristensen Dahl,27,3.0,2.0,9.0,1.0,defender,720000.0
578737,Enzo Martínez,28,3.0,1.0,9.0,1.0,defender,1000000.0
578756,Cristian Parano,27,6.0,6.0,6.0,1.0,midfielder,190000.0
578779,Eun-su Lim,30,3.0,2.0,9.0,1.0,defender,
578791,Michael Ruth,24,8.0,4.0,5.0,1.0,attacker,100000.0
578804,Sven Mijnans,26,38.0,34.0,14.0,1.0,midfielder,14000000.0
578872,Jean Lucas,28,2.0,4.0,13.0,1.0,midfielder,12000000.0
578878,Ángel Baena,26,6.0,6.0,5.0,1.0,attacker,500000.0
578891,Emir Yazici,24,3.0,2.0,9.0,1.0,defender,60000.0
578916,Ognjen Gasevic,24,3.0,1.0,1.0,1.0,defender,
578920,Max Fenger,25,9.0,2.0,2.0,1.0,attacker,2200000.0
578926,Frederik Elkær,24,3.0,4.0,7.0,1.0,defender,700000.0
578928,Mathias Grundetjern,26,8.0,4.0,5.0,1.0,attacker,800000.0
578992,Faris Abdi,27,3.0,4.0,7.0,1.0,defender,500000.0
579037,Thabiso Monyane,26,3.0,5.0,9.0,1.0,defender,
579055,Lennert Hallaert,23,8.0,4.0,5.0,1.0,attacker,100000.0
579077,Kopano Thuntsane,27,1.0,1.0,3.0,1.0,goalkeeper,
579084,Fabio Ferraro,24,1.0,8.0,6.0,1.0,defender,1060000.0
579089,Christiaan Ravych,24,3.0,3.0,10.0,1.0,defender,3600000.0
579124,Thabo Moloisane,27,3.0,2.0,9.0,1.0,defender,
579205,Clément Billemaz,28,6.0,5.0,5.0,1.0,attacker,420000.0
579206,Federico Zanchetta,24,5.0,5.0,8.0,1.0,midfielder,140000.0
579207,Michael,31,1.0,1.0,3.0,1.0,goalkeeper,260000.0
579261,Konadu Yiadom,26,3.0,2.0,9.0,1.0,defender,120000.0
579263,Augustine Boakye,26,3.0,6.0,5.0,1.0,attacker,4000000.0
579284,Joe Mendes,23,2.0,4.0,6.0,1.0,defender,2800000.0
579287,Daniel Svensson,24,9.0,18.0,12.0,1.0,defender,22000000.0
579289,Paulos Abraham,24,2.0,3.0,4.0,1.0,attacker,1600000.0
579291,Zeidane Inoussa,24,6.0,5.0,5.0,1.0,attacker,
579292,Noel Milleskog,24,6.0,6.0,5.0,1.0,attacker,1100000.0
579294,Aimar Sher,23,5.0,5.0,1.0,1.0,midfielder,1300000.0
579295,Melker Widell,24,2.0,4.0,5.0,1.0,midfielder,1500000.0
579296,Samuel Burakovsky,23,6.0,5.0,5.0,1.0,attacker,
579298,Adam Kaied,24,1.0,5.0,8.0,1.0,midfielder,
579299,Edoardo Sottini,24,3.0,2.0,9.0,1.0,defender,230000.0
579401,Demethryus,27,1.0,1.0,2.0,1.0,midfielder,400000.0
579429,Marko Bjekovic,26,3.0,5.0,9.0,1.0,defender,530000.0
579448,Konrad Gruszkowski,25,4.0,4.5,5.0,1.0,midfielder,320000.0
